states: location[$x],states: location[$y]
1.0099985572927355,1.0099985572927355
2.0199734485305636,2.0199734485305636
3.0295365716814375,3.0295365716814375
4.031969549915778,4.031969549915778
4.92043405185564,4.92043405185564
5.042484784149483,5.042484784149483
5.112495148713411,5.112495148713411
5.2802585404006095,5.2802585404006095
5.667076175730135,5.667076175730135
6.413851245510914,6.413851245510914
7.387842606681361,7.387842606681361
8.00469520487297,8.00469520487297
7.999954960963432,7.999954960963432
8.00000043179204,8.00000043179204
7.99999999586036,7.99999999586036
8.000000000039687,8.000000000039687
7.99999999999962,7.99999999999962
8.000000000000004,8.000000000000004
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
8.0,8.0
