states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3],states: rlevel[$t4]
50.87393524637745,84.49551495669576,69.32172731066505,78.75052076823305
53.68934934750445,90.99252967079546,87.74945115127997,105.65290254681943
52.008374293536036,102.09881404243087,103.90440695068516,130.08201236191115
53.88559337682747,106.77257502682512,118.74608277003578,152.5202154034119
55.15518868740597,106.63637121680708,137.71811858260412,171.6543709161999
52.39128635975243,111.17631346297492,154.293722073801,186.99400282073452
55.3628718812263,104.66206470063568,172.83246328309292,200.22099590499437
55.55594990936805,107.76506004438102,182.02257184468706,209.7933670739627
50.66497913670239,110.80997412164085,194.10292546663197,218.90087670583566
53.5356643335427,105.3583207976496,205.55419812173713,225.13296320292204
53.23602041270412,107.6403207252583,203.3056134337764,237.19913924579947
54.82405953905249,107.0508515441712,204.94189752008126,243.97270880707498
54.57303203269074,107.73857698564929,206.8763212737714,249.05963271382626
55.92691325471124,106.46862611814359,206.090114500051,255.53867385831714
54.921972339649635,108.97881165596364,203.94832788416923,253.60464476142099
54.15256808617532,109.40174058684175,207.276023913783,252.37773834391305
54.38716633184946,106.73923787162799,207.84793725863932,258.19284224946443
53.19583283927511,111.01931695166274,200.128067721233,258.52108296979736
55.33248549211866,104.20244109027581,211.69088479897113,248.70867286448237
55.467338258019325,107.42171957318574,203.91179948831234,258.328335012003
54.64605893077039,107.45029409048159,206.71855835936765,253.4073918194607
52.639378097389205,111.81512547363877,204.29884642599922,254.99198257278988
53.443825599245116,107.12317936164075,210.87160737303725,250.82683555888366
53.53102798589034,108.65134717485981,205.98890694652692,256.9188412453667
54.719972080994715,105.02525612420226,207.97938427124072,254.3636725248407
52.09405419470091,111.22576581897675,202.95373058574,255.0368225374767
53.70310019246175,104.73348033491715,211.38688859538885,250.57910267073214
54.71052859177987,106.16701516921887,203.48446008421027,259.5869469879309
52.22078219850644,111.42691517815453,203.59614992671484,249.8925584000123
52.60516633856492,105.68611226928176,212.6830866635919,251.43778446282113
54.119551372695256,105.54566849153109,204.9024050810506,260.3228663745317
54.997669573630425,105.49783415365184,206.00773433847664,250.5843233430811
53.28730060588763,110.93959668226067,202.18745835157662,256.4684888591324
54.20602391302679,109.09856919024874,206.63401149009303,250.86478373294597
51.52285391662951,111.2000875884252,206.57671624122253,256.7610872713453
53.92101500278402,104.39551031972631,211.2451508608744,252.15839061937393
54.92901552782286,107.76366011749485,199.37558727712337,264.1566828560081
52.984375796678755,109.50324458898335,205.26001992627735,249.6611720327002
52.70082198178222,109.48938084751947,208.20326066264334,252.86800369600593
53.39786892043967,107.89400779776766,206.3216923578644,257.02148004673523
