states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3],states: rlevel[$t4],states: rlevel[$t5],states: rlevel[$t6],states: rlevel[$t7],states: rlevel[$t8]
52.51406126712847,51.750520768233045,57.750520768233045,55.57995069459724,63.750520768233045,85.98521093748894,73.6779336213588,79.4350625296309
52.47168447189924,53.41206018059958,64.9239407601182,61.036180339657584,76.87977791740568,98.4495116157318,96.14322918024045,106.61402712395775
53.93900266292542,51.093003958280704,75.7111722756687,63.868025053275375,88.00485546569513,108.7678576521856,117.45116848715922,133.2481161322939
53.02379671659219,51.638994739743495,82.09169011202448,68.82984906320156,99.59539069214763,120.32549384669807,136.01711940473234,154.39683277528871
54.490150372706765,53.306294328520224,86.91275751436014,73.46294492269053,110.45715807412854,128.23238068349482,151.5278234332173,172.79240515359552
53.9944211607195,54.88618659782372,92.14059703509864,76.69426450918921,117.45941243267589,137.04499847379245,167.0011162459789,188.5655849797781
54.364775289057796,56.38069600404183,95.54050536916023,80.75614172740453,124.82168115207739,143.85635525253392,179.06014404852996,202.06965651632285
53.05047769298193,50.71855959768375,107.05703835177562,84.49890758122194,132.05166856336302,150.98157295151327,188.4749632036861,211.8320519591283
54.25543556879244,52.43292480786488,103.76627089838489,87.76120605441237,144.92926723965596,153.7360077177036,197.0981529233151,219.73497994688785
52.467565074876084,52.13629566816328,104.89598613474325,90.42001151924539,153.88262277296724,160.28188919502878,202.79982979405622,226.2821765804025
56.09177380865846,51.2751808786071,110.9071195314411,93.3376902805336,157.08936466987558,159.14440140454474,208.31441854643535,230.97289123670313
50.87271901139828,52.13951914606772,114.59119109878965,95.98805011486097,159.8015143225276,168.18105404699088,211.32274253056332,233.9405906761384
54.227520170013115,53.65635703694766,102.92494689495167,98.3882683385871,176.32707212998454,167.45693598739982,212.86235573054108,238.12296147771997
53.224611044232375,51.16845930392937,109.30438354426202,100.55594782534521,177.24410824107693,171.03477778447524,214.30420187667121,241.11252336625964
54.071173237662116,52.85992486788477,102.77585886733215,102.50871439765632,185.5237332651566,172.14473697312496,217.25034056859283,242.3257236332982
57.61003957702197,49.40511351135433,108.91875900158593,103.96308175128217,186.05608861207196,169.79300759792994,219.44457908107285,243.55216778986215
54.788487056885245,51.18517731549069,105.15191318219661,105.5686502941134,190.2645457497896,173.2716401712664,222.32782717579647,244.18568554051888
54.153530970963445,50.141492823355584,104.948543024602,107.0066250012037,192.4636629008559,175.46992990479367,224.04507971809082,244.66775708465377
53.37435032999011,49.60103346712284,105.31212182972442,106.701626448319,194.47999269329483,177.46755543193052,224.15642600828073,246.62504296211458
56.95061591230785,50.109896807508456,106.19414882424371,107.28580547007037,194.0667405184648,174.80271859827968,224.70864616432294,247.2544447666729
53.81380832448341,51.71088066817679,105.91334313997662,108.54171756671938,194.1506094445233,179.1184080525725,223.2450205660552,248.42614091875046
55.17103152991277,53.374468861873645,102.99102419253114,109.38863711213335,196.74554414935955,178.35785981300228,223.53232411408607,247.89084972979953
53.82396952208484,54.95072812362857,106.69681966019803,108.74015966232037,191.69858292815405,180.36220641250708,224.57369043230358,248.84663747661824
57.37615896681964,50.49205392608463,109.12670122282574,109.71523363958356,195.27518902886064,177.1849865927485,224.56844553258054,247.5096454515559
60.73105012757574,51.495844869430215,112.90622057057209,110.64651958311389,191.32993180588426,174.41015810157845,224.60356255728428,247.37335567094215
54.361944576155956,51.40263927758311,105.06044822581632,111.53767600301803,200.13881240248148,181.80380714579013,224.84401757715557,247.08766821621558
52.26713322473493,50.411540373912416,105.72986172661966,112.33023888626256,200.73692616692415,183.98631283962854,224.50925025349696,247.14097502478648
53.18480081946409,52.14141679781487,103.503948094864,113.03445723445978,200.71659685317098,182.87318796531514,225.17286192510187,245.97372453883878
56.77115596509126,50.99801343663021,109.94162904950112,113.6596581456882,194.74014565652084,178.92438900114638,225.10491233794426,247.24494773180425
55.11397156918127,52.69817835500792,112.91021575125006,113.23064296501254,190.8979071760585,180.7118830986653,225.10667798741463,248.18695809848197
55.71482945537308,51.606837524271455,118.25282728820589,113.69648834278802,187.67112433131712,180.35335384162198,225.09985203980406,247.84103793189252
52.78604512742263,50.77721082454667,104.78790085412739,113.18421780884881,203.15202005574866,183.55522944948993,224.97829254520073,248.50464587751998
53.25840358634548,50.89858282559779,109.89771021712752,113.79255157044776,193.80935889562866,182.93851307988172,227.75844500533918,248.91830874145134
52.807447782486264,52.60380918207302,102.5515763774417,114.3321426297727,199.5365614914462,181.5092169989801,229.79642024849915,248.257080344446
52.39163042513778,49.54447751344599,109.1281515123409,114.81045332096294,196.6115942483095,181.43144305931114,229.34241655670795,247.75685498500619
56.019816734866026,51.0903793352275,103.53799284816192,115.23420288236872,201.28258502115563,177.45659761015943,228.8796930793604,246.30249673759485
53.455589470904634,52.43008181557566,102.44164821847322,115.60942651874551,200.44353698678245,180.78962291256394,228.73465653663214,246.2757939185273
57.02751979306138,51.30843215411479,107.05437691430333,115.94153329413913,197.38610219269822,177.09666936484717,228.24178966398208,245.06011540657275
54.51134447435566,52.99273200195521,103.4614125230003,116.23536186926506,199.33547944534388,180.3878843201744,227.99001764214168,244.43274473193398
54.29972628153744,52.892589133068896,106.22692802294539,116.49523341526896,196.764345452107,180.93269351113162,227.64857165019393,244.85565295279062
