action: move[$x],action: move[$y],states: location[$x],states: location[$y]
1.0,1.0,0.0,0.0
1.0,1.0,1.0099755913632422,1.0099755913632422
1.0,1.0,2.019550892982016,2.019550892982016
1.0,1.0,3.0221938272849314,3.0221938272849314
1.0,1.0,3.9137765010970917,3.9137765010970917
1.0,1.0,4.045114148772821,4.045114148772821
1.0,1.0,4.118828761616192,4.118828761616192
1.0,1.0,4.295313741483094,4.295313741483094
1.0,1.0,4.700251353239069,4.700251353239069
1.0,1.0,5.467743683423035,5.467743683423035
0.5532528933231093,0.5532528933231093,6.446747106676891,6.446747106676891
-0.004441054358551355,-0.004441054358551355,7.004441054358551,7.004441054358551
4.259978146770038E-5,4.259978146770038E-5,6.999957400218532,6.999957400218532
-4.0840687098864237E-7,-4.0840687098864237E-7,7.000000408406871,7.000000408406871
3.915443969049193E-9,3.915443969049193E-9,6.999999996084556,6.999999996084556
-3.753797273020609E-11,-3.753797273020609E-11,7.000000000037538,7.000000000037538
3.597122599785507E-13,3.597122599785507E-13,6.99999999999964,6.99999999999964
-3.552713678800501E-15,-3.552713678800501E-15,7.0000000000000036,7.0000000000000036
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
0.0,0.0,7.0,7.0
