action: flow[$t1],action: flow[$t2],action: flow[$t3],action: flow[$t4],action: flow[$t5],action: flow[$t6],action: flow[$t7],action: flow[$t8],states: rlevel[$t1],states: rlevel[$t2],states: rlevel[$t3],states: rlevel[$t4],states: rlevel[$t5],states: rlevel[$t6],states: rlevel[$t7],states: rlevel[$t8]
24.6760747101437,0.0,0.0,0.17057007363580753,0.0,0.44138454088780565,0.5139716877620495,0.0,75.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3.6641471471458353,0.0,0.15994544931340812,0.0,0.0,0.5076718018436316,0.3306122866764431,0.0,52.51406126712847,51.750520768233045,57.750520768233045,55.57995069459724,63.750520768233045,85.98521093748894,73.6779336213588,79.4350625296309
2.1566745978510014,3.8933102677713514,0.0,2.3066039756766914,0.9225826329635984,0.0,0.0,0.0,52.47168447189924,53.41206018059958,64.9239407601182,61.036180339657584,76.87977791740568,98.4495116157318,96.14322918024045,106.61402712395775
4.461203231383324,1.149329508046307,0.9054582421701047,0.0,0.4474923520270913,0.0,0.0,0.0,53.93900266292542,51.093003958280704,75.7111722756687,63.868025053275375,88.00485546569513,108.7678576521856,117.45116848715922,133.2481161322939
2.1285434639766443,0.0,0.8131930912116221,0.0,0.0,0.0,0.2674640713866636,0.0,53.02379671659219,51.638994739743495,82.09169011202448,68.82984906320156,99.59539069214763,120.32549384669807,136.01711940473234,154.39683277528871
4.011875526524921,0.0,0.0,1.072704744992583,1.9097511183022622,0.0,0.0,0.44509423227853956,54.490150372706765,53.306294328520224,86.91275751436014,73.46294492269053,110.45715807412854,128.23238068349482,151.5278234332173,172.79240515359552
3.1726553054034463,0.0,1.3611508245435724,0.0,2.116376823851491,0.0,1.1773903738561284,0.0,53.9944211607195,54.88618659782372,92.14059703509864,76.69426450918921,117.45941243267589,137.04499847379245,167.0011162459789,188.5655849797781
4.837261021601252,7.073586886633463,0.0,0.0,0.0,0.400369987071117,0.03981318823654814,0.0,54.364775289057796,56.38069600404183,95.54050536916023,80.75614172740453,124.82168115207739,143.85635525253392,179.06014404852996,202.06965651632285
2.3885254882418545,0.0,6.571103061897643,0.17191569697811224,0.0,1.2796263643747698,0.0,0.0,53.05047769298193,50.71855959768375,107.05703835177562,84.49890758122194,132.05166856336302,150.98157295151327,188.4749632036861,211.8320519591283
5.3167663339980065,1.9226530982114411,4.418874652147626,0.4951214256579427,0.0,0.0,0.0,0.0,54.25543556879244,52.43292480786488,103.76627089838489,87.76120605441237,144.92926723965596,153.7360077177036,197.0981529233151,219.73497994688785
0.0,2.502633757460747,0.0,0.0,0.0,1.3472744087834738,0.40946838921694867,0.33486759054006915,52.467565074876084,52.13629566816328,104.89598613474325,90.42001151924539,153.88262277296724,160.28188919502878,202.79982979405622,226.2821765804025
8.646736049866746,0.8216656030108289,0.0,0.0,0.0,0.0,0.45081381360748335,1.0454159586419973,56.09177380865846,51.2751808786071,110.9071195314411,93.3376902805336,157.08936466987558,159.14440140454474,208.31441854643535,230.97289123670313
0.35174015915664036,0.12451316388856748,14.239546303449218,0.0,0.0,0.0,1.2975549083611717,0.0,50.87271901139828,52.13951914606772,114.59119109878965,95.98805011486097,159.8015143225276,168.18105404699088,211.32274253056332,233.9405906761384
4.533317653706937,4.049086030672061,1.382224014871705,0.0,0.0,0.0,1.073661326567481,0.0,54.227520170013115,53.65635703694766,102.92494689495167,98.3882683385871,176.32707212998454,167.45693598739982,212.86235573054108,238.12296147771997
2.7376768590606693,0.0,9.566688568799206,0.0,0.6614418343808408,0.07247682434582878,0.0,0.0,53.224611044232375,51.16845930392937,109.30438354426202,100.55594782534521,177.24410824107693,171.03477778447524,214.30420187667121,241.11252336625964
0.0,5.0583760533913456,2.6433302913053227,0.3008111186372638,0.0,0.6078960143488036,0.0,0.0,54.071173237662116,52.85992486788477,102.77585886733215,102.50871439765632,185.5237332651566,172.14473697312496,217.25034056859283,242.3257236332982
