action: AIR[$r1],action: AIR[$r2],action: AIR[$r3],action: AIR[$r4],action: AIR[$r5],action: AIR[$r6],states: TEMP[$r1],states: TEMP[$r2],states: TEMP[$r3],states: TEMP[$r4],states: TEMP[$r5],states: TEMP[$r6],states: AIR_VOLUME[$r1],states: AIR_VOLUME[$r2],states: AIR_VOLUME[$r3],states: AIR_VOLUME[$r4],states: AIR_VOLUME[$r5],states: AIR_VOLUME[$r6]
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0
10.0,10.0,10.0,10.0,10.0,10.0,13.6975,13.7725,13.6975,13.6975,13.7725,13.6975,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,16.72268,16.927889375,16.72268,16.72268,16.927889375,16.72268,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,19.198362318125,19.56599127828125,19.198362318125,19.198362318125,19.56599127828125,19.198362318125,10.0,10.0,10.0,10.0,10.0,10.0
7.284663416676187,7.413390577793963,5.188268579322795,9.465699970295177,2.64481585834929,5.302095191753907,21.22482395089422,21.7707160527659,21.22482395089422,21.22482395089422,21.7707160527659,21.22482395089422,10.0,10.0,10.0,10.0,10.0,10.0
4.927367655858434,2.841570491141475,6.966900719876889,7.758102493943454,3.8814301189761236,7.299722220196631,22.242869993695543,23.019611582407844,21.74791570328823,22.757808010386963,21.926495722409527,21.774789920483133,7.284663416676187,7.413390577793963,5.188268579322795,9.465699970295177,2.64481585834929,5.302095191753907
5.36592726448358,2.060739741615578,1.338622352706208,0.0,7.517008827604746,8.784924754161398,22.590233597040132,23.111952492995844,22.62195963721469,23.636078717660325,22.37617419555668,22.711463310800955,4.927367655858434,2.841570491141475,6.966900719876889,7.758102493943454,3.8814301189761236,7.299722220196631
8.16134775341202,5.085386685295786,6.288625867936456,5.119850864642972,0.0,0.0,22.99484670881799,23.043325380930924,22.13433115880997,22.7748347094359,23.59740899025975,23.827775620757947,5.36592726448358,2.060739741615578,1.338622352706208,0.0,7.517008827604746,8.784924754161398
0.0,0.0,1.3467739824018787,5.033465522468942,6.872656717133744,3.805560952600051,23.932678129891467,23.635197037005746,22.811269648486196,23.098931214418744,23.077953725961223,22.958931482986593,8.16134775341202,5.085386685295786,6.288625867936456,5.119850864642972,0.0,0.0
6.975563664180432,9.552566377217852,6.977862946288006,0.2574297624651689,0.0,0.3107967724780758,23.064538085015418,23.11484640139571,22.314835193078697,23.363656571006775,24.053822259411383,22.970252047412906,0.0,0.0,1.3467739824018787,5.033465522468942,6.872656717133744,3.805560952600051
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0
10.0,10.0,10.0,10.0,10.0,10.0,13.6975,13.7725,13.6975,13.6975,13.7725,13.6975,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,16.72268,16.927889375,16.72268,16.72268,16.927889375,16.72268,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,19.198362318125,19.56599127828125,19.198362318125,19.198362318125,19.56599127828125,19.198362318125,10.0,10.0,10.0,10.0,10.0,10.0
2.1746684608004374,3.7003458967861103,7.297605136517157,3.4425386174151305,2.6868976653608523,8.793467309623757,21.22482395089422,21.7707160527659,21.22482395089422,21.22482395089422,21.7707160527659,21.22482395089422,10.0,10.0,10.0,10.0,10.0,10.0
2.6401020946741727,5.708559510660588,5.2353053425492515,4.305176756704099,2.2200134762307497,8.742231844900019,21.036411228244923,22.168458298987186,22.245925505780576,21.335752632122865,21.936142271613036,22.5990953320199,2.1746684608004374,3.7003458967861103,7.297605136517157,3.4425386174151305,2.6868976653608523,8.793467309623757
0.18251068713051266,4.454259613110786,1.976721029300853,2.2197735922061144,4.120210400738107,0.0,20.982118900213187,22.981456623708223,22.65321083113306,21.636062797528442,21.99527701060421,23.71987202107168,2.6401020946741727,5.708559510660588,5.2353053425492515,4.305176756704099,2.2200134762307497,8.742231844900019
2.8198531286695747,5.201390226331336,2.4878382422736447,2.4743265984480622,4.846779931840903,8.590554053451726,20.355132796581767,23.42028531379605,22.30928571571852,21.416682753816517,22.497904789521392,22.849868751549682,0.18251068713051266,4.454259613110786,1.976721029300853,2.2197735922061144,4.120210400738107,0.0
5.1306336329318105,0.0,9.35885691989442,3.4888438905938166,2.9833014964292417,0.0,20.428645940152773,23.958974234028915,22.10909789960963,21.277871824483192,23.09756492184813,23.897289546259753,2.8198531286695747,5.201390226331336,2.4878382422736447,2.4743265984480622,4.846779931840903,8.590554053451726
2.3520686774580843,4.677260099162542,1.6324014917735352,4.286314346974507,3.786965852858301,5.579645523259657,21.066229991659537,23.383499250748862,23.48881616696897,21.397959936119932,23.239180038703058,23.01900104035713,5.1306336329318105,0.0,9.35885691989442,3.4888438905938166,2.9833014964292417,0.0
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0
10.0,10.0,10.0,10.0,10.0,10.0,13.6975,13.7725,13.6975,13.6975,13.7725,13.6975,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,16.72268,16.927889375,16.72268,16.72268,16.927889375,16.72268,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,19.198362318125,19.56599127828125,19.198362318125,19.198362318125,19.56599127828125,19.198362318125,10.0,10.0,10.0,10.0,10.0,10.0
1.7134641309253862,1.0224504951182667,6.72366581256658,9.43490474674934,7.937052009768099,3.7699032780373076,21.22482395089422,21.7707160527659,21.22482395089422,21.22482395089422,21.7707160527659,21.22482395089422,10.0,10.0,10.0,10.0,10.0,10.0
1.8746010303258331,8.399286598064005,0.24758457222546326,4.96205665981757,4.579007342336015,3.1614338655688776,20.92752188270815,21.55459564458789,22.110419671783465,22.75053732466189,23.139652192073914,21.413042721000988,1.7134641309253862,1.0224504951182667,6.72366581256658,9.43490474674934,7.937052009768099,3.7699032780373076
7.837779317623793,9.63737661902805,4.149397851613546,1.8801169409708152,0.0,3.8767010168112104,20.707863772491756,23.08213595248762,21.39946221373014,23.02270002886158,23.586911373470635,21.455184015004825,1.8746010303258331,8.399286598064005,0.24758457222546326,4.96205665981757,4.579007342336015,3.1614338655688776
8.001037219845934,0.0,2.451856105016237,6.584788312855468,9.343585258053556,7.648324612624072,21.971056730858542,24.612230563203124,21.668280565187835,22.60196992559936,23.050729579265003,21.657180750814746,7.837779317623793,9.63737661902805,4.149397851613546,1.8801169409708152,0.0,3.8767010168112104
7.599519554154471,0.0,4.244040685766139,8.89905700362411,0.0,2.5157232273943397,23.06389902673609,24.00471671029719,21.52658543460503,23.257212660749083,24.55045159452488,22.70233957573864,8.001037219845934,0.0,2.451856105016237,6.584788312855468,9.343585258053556,7.648324612624072
0.0,8.86501681815184,2.9037652300177816,0.0,0.0,7.6027374715962095,23.88198664955228,23.455596383035832,21.819568231032264,24.319272855810876,23.974083944423615,22.46565124273646,7.599519554154471,0.0,4.244040685766139,8.89905700362411,0.0,2.5157232273943397
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0
10.0,10.0,10.0,10.0,10.0,10.0,13.6975,13.7725,13.6975,13.6975,13.7725,13.6975,10.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,16.72268,16.927889375,16.72268,16.72268,16.927889375,16.72268,10.0,10.0,10.0,10.0,10.0,10.0
